Date,Close,High,Low,Open,Volume
1996-01-01,12.205255508422852,12.306201668650502,12.021717822305575,12.119604258434293,43733533
1996-01-02,11.816767692565918,12.297023151710253,11.501694040639281,12.25113965991417,56167280
1996-01-03,11.501692771911621,12.040069322530137,11.440513140596373,11.884062994128586,68296318
1996-01-04,11.461926460266113,11.562871369607638,11.168265956246334,11.348745129745907,86073880
1996-01-05,11.397688865661621,11.532282084313126,11.3212143216535,11.501693503461619,76613039
1996-01-08,11.064262390136719,11.440514444762846,10.972494169454354,11.33345131450812,55395172
1996-01-09,11.66993522644043,12.113483832014893,10.83177998765487,10.951079523654547,82057540
1996-01-10,11.134617805480957,11.48639822303346,11.058143263947063,11.28756565179704,54360749
1996-01-11,11.559815406799316,11.624053540134707,11.012262029655169,11.012262029655169,65973105
1996-01-12,11.565933227539062,11.82288575218992,11.394630719937215,11.593463325143691,102152486
1996-01-15,11.602639198303223,11.801473026105775,11.532282860431147,11.685231958740802,68169665
1996-01-16,11.847357749938965,12.664101320125697,11.532284058783077,11.60875861588459,92497161
1996-01-17,11.360981941223145,11.65464248729919,11.318156934468002,11.578167935859437,65477620
1996-01-18,11.284505844116211,11.428278228480455,11.10402790624189,11.229445658723556,67620657
1996-01-19,11.419100761413574,11.458868513743877,11.211091485579848,11.211091485579848,47652365
1996-01-22,11.816767692565918,11.87488760667549,11.477222432764103,11.501694040639281,81512772
1996-01-23,11.942184448242188,12.171606858631025,11.777001401103831,11.923831051171664,130297068
1996-01-24,11.538399696350098,11.624049687911478,11.250857435425997,11.562870062437739,54484752
1996-01-25,11.64852237701416,11.850413428452347,11.593460956303444,11.746410034250802,67701207
1996-01-26,11.64852237701416,11.64852237701416,11.64852237701416,11.64852237701416,0
1996-01-29,12.180784225463867,12.293965574861485,11.718880892082765,11.777002047247942,75689901
1996-01-30,12.453028678894043,12.774219252218124,12.052305083913367,12.358200750245675,89163372
1996-01-31,12.02783489227295,12.404086927593104,11.810647682190288,12.17466453253144,56831282
1996-02-01,12.624335289001465,12.725281470842194,11.945245828646321,11.945245828646321,96599349
1996-02-02,13.496135711669922,13.581785713413415,12.786456671463435,12.878224883831948,106010376
1996-02-05,14.346529006958008,14.835963692016557,13.673557860942424,13.673557860942424,160942920
1996-02-06,14.468886375427246,15.019500679260478,14.132400818336178,14.560655838316745,147345446
1996-02-07,14.21499252319336,14.49947511610118,13.459428701353884,14.003924753076209,67480756
1996-02-08,14.618775367736816,14.851257506180062,13.991689001658449,14.257818210814689,52796395
1996-02-09,15.652709007263184,15.860718355328014,14.493362678776665,14.759491958484032,74580228
1996-02-12,14.735017776489258,15.735299049936103,14.560656775181938,15.478345279363655,81608160
1996-02-13,14.81454849243164,14.982791255353037,14.285348596519887,14.698308667668663,83711982
1996-02-14,15.248920440673828,15.59152417735236,15.172447132150657,15.355984804058735,52251098
1996-02-15,15.160212516784668,15.417166277477488,15.00420615728565,15.172448940187527,40662588
1996-02-16,14.805374145507812,15.077621591228452,14.704427977023546,15.047031768248253,41113559
1996-02-19,14.906317710876465,15.111267262899585,14.835961377658844,14.866549958545347,29196493
1996-02-20,14.441357612609863,14.93996778276181,14.322058041884526,14.927732595297464,30560533
1996-02-21,14.441357612609863,14.441357612609862,14.441357612609862,14.441357612609862,0
1996-02-22,14.84207820892334,14.894081145758157,14.621833750201048,14.707484991413361,21638101
1996-02-23,15.062321662902832,15.141854681460357,14.640184967232246,14.866547603087561,46653977
1996-02-26,15.463048934936523,15.80565269386539,15.362104012719879,15.417165441543432,71998409
1996-02-27,15.435519218444824,15.631292093074126,15.233626895543514,15.53952386727961,62652564
1996-02-28,15.45387077331543,15.78423807823065,15.423280956114596,15.661880046179036,36609684
1996-02-29,14.70136833190918,15.41410595687196,14.499476010836705,15.35598603983685,71030227
1996-03-01,14.881844520568848,15.013380485997747,14.683013184057147,14.866549612106146,49598798
1996-03-04,14.731956481933594,14.98585173785216,14.377117541954892,14.927730585776613,40613835
1996-03-05,14.731956481933594,14.731956481933594,14.731956481933594,14.731956481933594,0
1996-03-06,14.909379959106445,14.982794797907443,14.713605818885059,14.750313856661586,22160082
1996-03-07,14.81454849243164,15.123503924015338,14.759487067161686,14.988909466327868,31303495
1996-03-08,14.676897048950195,14.741135178877512,14.444416138891725,14.686073747975255,39637704
1996-03-11,14.340412139892578,14.49947699146999,14.159932928364439,14.377118937659693,39109363
1996-03-12,14.31899642944336,14.386293037691443,14.193578673979145,14.325114640216382,27429706
1996-03-13,14.661602020263672,14.710545239171148,14.239465211246852,14.312880039608064,27421227
1996-03-14,14.646307945251465,14.842080832049117,14.56677490080193,14.71360456590017,36343129
1996-03-15,14.383234977722168,14.652423892210221,14.346526948745884,14.621834074188612,29065070
1996-03-18,14.00698184967041,14.343467348286161,13.964156849815344,14.254757624960313,27165271
1996-03-19,13.624612808227539,14.184402525474468,13.275890858433673,14.006983063448448,35581619
1996-03-20,13.624612808227539,13.624612808227539,13.624612808227539,13.624612808227539,0
1996-03-21,14.055929183959961,14.162992333385368,13.890744873051705,13.890744873051705,13650996
1996-03-22,13.902975082397461,14.010038183961242,13.65825783157121,13.902975082397461,23179668
1996-03-25,13.994749069213867,14.190523198232286,13.927452446685276,14.01004398101618,22524674
1996-03-26,13.88768482208252,14.071222512404104,13.569552660624856,14.003925895212006,24039214
1996-03-27,14.144636154174805,14.285348825088539,14.071221331557467,14.071221331557467,14674821
1996-03-28,14.380179405212402,14.98891245491483,14.172170084607995,14.14463874810776,15454878
1996-03-29,14.401589393615723,14.530066885754367,14.285349561004736,14.46888600862715,21249133
1996-04-01,14.79007625579834,14.86654956109775,14.071220507524641,14.071220507524641,40137428
1996-04-02,15.258097648620605,15.478343356970731,14.600421484286334,14.991968448324043,53712115
1996-04-03,15.466109275817871,15.7505931527089,15.417167289250285,15.478345700023759,48630086
1996-04-04,15.420223236083984,15.463048240244197,15.206095741779347,15.417164748912464,40702863
1996-04-05,15.420223236083984,15.420223236083984,15.420223236083984,15.420223236083984,0
1996-04-08,16.236968994140625,16.426624922103393,15.81483212473243,15.967780014887156,67392257
1996-04-09,16.350147247314453,16.909938224413867,15.970836700321515,16.396031976654896,123803836
1996-04-10,16.084012985229492,16.487795013539856,15.980008373482711,16.273668817459342,70021770
1996-04-11,16.04730987548828,16.17578736389519,15.827065402687465,15.9065984381646,76341715
1996-04-12,16.42967987060547,16.481682809901542,15.973894786165312,16.090135850223028,68621695
1996-04-15,16.919113159179688,17.154653773055845,16.665220385591542,16.760048328574012,88429949
